,Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
814,CASC,"Site 5020 (LA-2A), Jiuquan Satellite Launch Center, China",1969,,Long March 1,Test flight,Retired,,Failure
852,CASC,"Site 5020 (LA-2A), Jiuquan Satellite Launch Center, China",1970,13:35:00,Long March 1,Dong Fang Hong 1,Retired,,Success
948,CASC,"Site 5020 (LA-2A), Jiuquan Satellite Launch Center, China",1971,12:15:00,Long March 1,Shijian 1,Retired,,Success
1108,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1972,00:32:00,Feng Bao 1,Shiyan Peizhong,Retired,,Success
1213,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1973,12:12:00,Feng Bao 1,JSSW-1,Retired,,Failure
1305,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1974,13:55:00,Feng Bao 1,JSSW-2,Retired,,Failure
1336,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1974,09:40:00,Long March 2,FSW-0 No.0,Retired,,Failure
1416,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1975,13:30:00,Feng Bao 1,JSSW-3,Retired,,Success
1446,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1975,03:29:00,Long March 2,FSW-0 No.1,Retired,,Success
1457,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1975,09:21:00,Feng Bao 1,JSSW-4,Retired,,Success
1539,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1976,11:45:00,Feng Bao 1,JSSW-5,Retired,,Success
1558,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1976,09:05:00,Feng Bao 1,JSSW-6,Retired,,Failure
1566,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1976,04:38:00,Long March 2,FSW-0 No.2,Retired,,Success
1657,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1977,00:15:00,Feng Bao 1,DDDS 1,Retired,,Success
1699,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1978,04:58:00,Long March 2,FSW-0 No.3,Retired,,Success
1723,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1978,16:39:00,Feng Bao 1,DDDS 2,Retired,,Success
1819,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1979,21:28:00,Feng Bao 1,Shijian 2A,Retired,,Failure
1943,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1981,21:28:00,Feng Bao 1,Shijian 2,Retired,,Success
2014,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1982,07:19:00,Long March 2C,FSW-0 No.4,Active,30.8,Success
2074,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1983,06:00:00,Long March 2C,FSW-0 No.5,Active,30.8,Success
2100,CASC,"LC-3, Xichang Satellite Launch Center, China",1984,12:25:00,Long March 3,STTW 1 (Dong Fang Hong 2),Retired,,Partial Failure
2114,CASC,"LC-3, Xichang Satellite Launch Center, China",1984,11:20:00,Long March 3,STTW 2 (Dong Fang Hong 2),Retired,,Success
2146,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1984,05:44:00,Long March 2C,FSW-0 No.6,Active,30.8,Success
2222,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1985,05:04:00,Long March 2C,FSW-0 No.7,Active,30.8,Success
2245,CASC,"LC-3, Xichang Satellite Launch Center, China",1986,12:27:00,Long March 3,DFH-2A-T1,Retired,,Success
2282,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1986,05:40:00,Long March 2C,FSW-0 No.8,Active,30.8,Success
2337,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1987,06:39:00,Long March 2C,FSW-0 No.9,Active,30.8,Success
2343,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1987,07:15:00,Long March 2C,FSW-1 No.1,Active,30.8,Success
2362,CASC,"LC-3, Xichang Satellite Launch Center, China",1988,12:41:00,Long March 3,DFH-2A-T2,Retired,,Success
2391,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1988,07:29:00,Long March 2C,FSW-1 No.2,Active,30.8,Success
2395,CASC,"Taiyuan Satellite Launch Center, China",1988,20:30:00,Long March 4A,Fengyun 1A,Retired,,Success
2412,CASC,"LC-3, Xichang Satellite Launch Center, China",1988,12:40:00,Long March 3,DFH-2A-T3,Retired,,Success
2477,CASC,"LC-3, Xichang Satellite Launch Center, China",1990,12:28:00,Long March 3,DFH-2A-T4,Retired,,Success
2494,CASC,"LC-3, Xichang Satellite Launch Center, China",1990,13:30:00,Long March 3,AsiaSat 1,Retired,,Success
2510,CASC,"LC-2, Xichang Satellite Launch Center, China",1990,00:40:00,Long March 2E,"Optus-B, Badr-1, mass simulator",Retired,,Success
2523,CASC,"Taiyuan Satellite Launch Center, China",1990,00:53:00,Long March 4A,Fengyun-1B,Retired,,Success
2529,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1990,06:14:00,Long March 2C,FSW-1 No.3,Active,30.8,Success
2606,CASC,"LC-3, Xichang Satellite Launch Center, China",1991,12:00:00,Long March 3,DFH-2A-T5,Retired,,Partial Failure
2639,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1992,08:00:00,Long March 2D,FSW-2 No.1,Active,29.75,Success
2642,CASC,"LC-2, Xichang Satellite Launch Center, China",1992,23:00:00,Long March 2E,Optus-B1,Retired,,Success
2648,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1992,06:20:00,Long March 2C,"FSW-1 No.4, Freja",Active,30.8,Success
2665,CASC,"LC-2, Xichang Satellite Launch Center, China",1992,11:21:00,Long March 2E,Optus-B2,Retired,,Failure
2717,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1993,08:00:00,Long March 2C,FSW-1 No.5,Active,30.8,Success
2736,CASC,"LC-2, Xichang Satellite Launch Center, China",1994,08:34:00,Long March 3A,"Shijian 4, Kuafu-1 (mass simulator)",Active,69.7,Success
2754,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1994,08:00:00,Long March 2D,FSW-2 No.2,Active,29.75,Success
2758,CASC,"LC-3, Xichang Satellite Launch Center, China",1994,10:55:00,Long March 3,Apstar-1,Retired,,Success
2766,CASC,"LC-2, Xichang Satellite Launch Center, China",1994,23:10:00,Long March 2E,Optus-B3,Retired,,Success
2786,CASC,"LC-2, Xichang Satellite Launch Center, China",1994,17:02:00,Long March 3A,Chinasat-5,Active,69.7,Partial Failure
2797,CASC,"LC-2, Xichang Satellite Launch Center, China",1995,22:40:00,Long March 2E,Apstar 2,Retired,,Failure
2846,CASC,"LC-2, Xichang Satellite Launch Center, China",1995,11:30:00,Long March 2E,AsiaSat 2,Retired,,Success
2853,CASC,"LC-2, Xichang Satellite Launch Center, China",1995,11:50:00,Long March 2E,EchoStar 1,Retired,,Success
2861,CASC,"LC-2, Xichang Satellite Launch Center, China",1996,19:01:00,Long March 3B,Intelsat 708,Retired,,Failure
2887,CASC,"LC-3, Xichang Satellite Launch Center, China",1996,10:47:00,Long March 3,Apstar 1A,Retired,,Success
2894,CASC,"LC-3, Xichang Satellite Launch Center, China",1996,10:27:00,Long March 3,Chinasat-7,Retired,,Partial Failure
2903,CASC,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",1996,07:20:00,Long March 2D,FSW-2 No.3,Active,29.75,Success
2933,CASC,"LC-2, Xichang Satellite Launch Center, China",1997,16:17:00,Long March 3A,ChinaSat 6,Active,69.7,Success
2939,CASC,"LC-3, Xichang Satellite Launch Center, China",1997,12:01:00,Long March 3,Fengyun-2A,Retired,,Success
2948,CASC,"LC-2, Xichang Satellite Launch Center, China",1997,17:50:00,Long March 3B,Agila-2,Retired,,Success
2953,CASC,"LC-7, Taiyuan Satellite Launch Center, China",1997,14:00:00,Long March 2C,Iridium mass simulator A&B,Active,30.8,Success
2964,CASC,"LC-2, Xichang Satellite Launch Center, China",1997,19:13:00,Long March 3B,Apstar 2R,Retired,,Success
2976,CASC,"LC-7, Taiyuan Satellite Launch Center, China",1997,07:16:00,Long March 2C,Iridium 42 & 44,Active,30.8,Success
3000,CASC,"LC-7, Taiyuan Satellite Launch Center, China",1998,17:01:00,Long March 2C,Iridium 51 & 61,Active,30.8,Success
3006,CASC,"LC-7, Taiyuan Satellite Launch Center, China",1998,09:16:00,Long March 2C,Iridium 69 & 71,Active,30.8,Success
3011,CASC,"LC-2, Xichang Satellite Launch Center, China",1998,10:00:00,Long March 3B,ChinaStar 1,Retired,,Success
3015,CASC,"LC-2, Xichang Satellite Launch Center, China",1998,09:20:00,Long March 3B,SinoSat 1,Retired,,Success
3025,CASC,"LC-7, Taiyuan Satellite Launch Center, China",1998,23:01:00,Long March 2C,Iridium 76 & 78,Active,30.8,Success
3050,CASC,"LC-7, Taiyuan Satellite Launch Center, China",1998,11:39:00,Long March 2C,Iridium 88 & 89,Active,30.8,Success
3070,CASC,"LC-7, Taiyuan Satellite Launch Center, China",1999,01:33:00,Long March 4B,Fengyun 1C & Shijian-5,Active,64.68,Success
3076,CASC,"LC-7, Taiyuan Satellite Launch Center, China",1999,17:15:00,Long March 2C,Iridium 92 & 93,Active,30.8,Success
3093,CASC,"LC-7, Taiyuan Satellite Launch Center, China",1999,03:15:00,Long March 4B,CBERS-1 & SACI 1,Active,64.68,Success
3097,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",1999,22:30:00,Long March 2F,Shenzhou 1,Retired,,Success
