,Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
24,NASA,"SLC-17A, Cape Canaveral AFS, Florida, USA",1958,08:42:00,Thor-DM 18 Able I,Pioneer 1,Retired,,Partial Failure
27,NASA,"SLC-17A, Cape Canaveral AFS, Florida, USA",1958,07:30:00,Thor-DM 18 Able I,Pioneer 2,Retired,,Failure
43,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1959,08:19:00,Atlas-D Mercury,Big Joe 1,Retired,,Partial Failure
66,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1960,13:13:00,Atlas-D Mercury,Mercury-Atlas 1 (MA-1),Retired,,Failure
80,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1960,14:00:00,Mercury-Redstone,Mercury-Redstone 1 (MR-1),Retired,,Failure
84,NASA,"LA-3, Wallops Flight Facility, Virginia, USA",1960,21:14:00,Scout X-1,Explorer (S-56),Retired,,Failure
87,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1960,16:15:00,Mercury-Redstone,Mercury-Redstone 1A (MR-1A),Retired,,Success
90,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1961,16:55:00,Mercury-Redstone,Mercury-Redstone 2 (MR-2),Retired,,Success
94,NASA,"LA-3, Wallops Flight Facility, Virginia, USA",1961,13:05:00,Scout X-1,Explorer 9 (S-56A),Retired,,Success
97,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1961,14:12:00,Atlas-D Mercury,Mercury-Atlas 2 (MA-2),Retired,,Success
100,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1961,17:30:00,Mercury-Redstone,Mercury-Redstone BD (MR-BD),Retired,,Success
106,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1961,16:15:00,Atlas-D Mercury,Mercury-Atlas 3 (MA-3),Retired,,Failure
107,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1961,14:34:00,Mercury-Redstone,Freedom 7 (MR-3),Retired,,Success
111,NASA,"LA-3, Wallops Flight Facility, Virginia, USA",1961,17:09:00,Scout X-1,Explorer (S-55),Retired,,Failure
115,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1961,12:36:00,Mercury-Redstone,Liberty Bell 7 (MR-4),Retired,,Success
121,NASA,"LA-3, Wallops Flight Facility, Virginia, USA",1961,18:29:00,Scout X-1,Explorer 13,Retired,,Partial Failure
125,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1961,14:04:00,Atlas-D Mercury,Mercury-Atlas 4 (MA-4),Retired,,Success
131,NASA,"LC-18B, Cape Canaveral AFS, Florida, USA",1961,15:32:00,Blue Scout II,Mercury-Scout 1 (MS-1),Retired,,Failure
137,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1961,15:08:00,Atlas-D Mercury,Mercury-Atlas 5 (MA-5),Retired,,Success
146,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1962,14:47:00,Atlas-D Mercury,Friendship 7 (MA-6),Retired,,Success
158,NASA,"LA-3, Wallops Flight Facility, Virginia, USA",1962,10:49:00,Scout X-2,Solrad 4B,Retired,,Failure
165,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1962,12:45:00,Atlas-D Mercury,Aurora 7 (MA-7),Retired,,Success
201,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1962,09:13:00,Atlas-D Mercury,Sigma 7 (MA-8),Retired,,Success
220,NASA,"LA-3, Wallops Flight Facility, Virginia, USA",1962,14:33:00,Scout X-3,Explorer 16 (S-55B),Retired,,Success
236,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1963,13:04:00,Atlas-D Mercury,Faith 7 (MA-9),Retired,,Success
264,NASA,"SLC-5, Vandenberg AFB, California, USA",1963,18:49:00,Scout X-4,Explorer 19 (AD-A),Retired,,Success
265,NASA,"LC-34, Cape Canaveral AFS, Florida, USA",1964,16:25:00,Saturn I,SA-5,Retired,,Success
277,NASA,"LC-19, Cape Canaveral AFS, Florida, USA",1964,16:01:00,Titan II GLV,Gemini 1,Retired,,Success
284,NASA,"SLC-37B, Cape Canaveral AFS, Florida, USA",1964,17:07:00,Saturn I,A-101,Retired,,Success
306,NASA,"SLC-37B, Cape Canaveral AFS, Florida, USA",1964,16:22:00,Saturn I,A-102,Retired,,Success
326,NASA,"LC-19, Cape Canaveral AFS, Florida, USA",1965,14:04:00,Titan II GLV,Gemini 2,Retired,,Success
332,NASA,"SLC-37B, Cape Canaveral AFS, Florida, USA",1965,14:37:00,Saturn I,A-103,Retired,,Success
