,Object designation,Diameter,Impact date/time in UTC,Probabilidad,PS max,Vel. in km/s,Año
0,1979XB,700,2056-12-12 21:39,1/3.5E6,-3.22,28,2056
1,2000SG344,40,2071-09-16 00:57,1/1146,-3.37,11,2069
2,2008JL3,30,2027-05-01 09:06,1/6711,-3.66,14,2027
3,2021GX9,30,2032-04-16 21:51,1/19880,-3.67,20,2032
4,2019VB37,40,2049-04-26 01:30,1/17793,-3.72,18,2033
5,2018JD,16,2067-05-08 13:22,1/793,-3.82,14,2067
6,2011DU9,16,2046-02-23 20:45,1/1443,-3.9,14,2043
7,2012QD8,90,2047-03-08 23:18,1/169491,-3.9,24,2042
8,2022UY14,30,2043-04-28 22:24,1/32679,-3.94,23,2043
9,2022VE1,50,2053-10-26 06:39,1/43290,-4.02,19,2053
10,2005QK76,30,2030-02-26 08:15,1/32051,-4.05,23,2030
11,2017WT28,8,2104-11-24 16:31,1/147,-4.11,12,2080
12,2006JY26,8,2074-05-03 00:48,1/152,-4.12,12,2073
13,2021EU,29,2056-08-29 02:45,1/21834,-4.13,24,2024
14,2020VW,7,2074-11-02 20:49,1/250,-4.16,15,2074
15,2007KE4,30,2029-05-26 00:18,1/23364,-4.17,15,2026
16,2008FF5,80,2060-03-27 18:06,1/518134,-4.18,41,2060
17,2020VV,12,2056-10-11 00:02,1/1001,-4.19,11,2044
18,2014GN1,40,2061-09-16 20:13,1/49261,-4.2,24,2061
19,2013VW13,20,2080-11-08 16:20,1/4444,-4.22,20,2063
20,2022NX1,8,2075-12-04 19:06,1/266,-4.22,11,2075
21,2020KD3,18,2083-05-26 21:12,1/2109,-4.25,14,2083
22,2014CR13,25,2108-02-11 19:52,1/4484,-4.26,17,2102
23,2022WV9,40,2115-01-15 00:14,1/12500,-4.26,13,2039
24,2007DX40,40,2056-08-18 05:16,1/37593,-4.28,19,2030
25,2008EX5,60,2083-10-09 17:03,1/42735,-4.3,15,2056
26,2008UB7,60,2060-10-31 18:27,1/108813,-4.3,22,2049
27,2022AT2,14,2080-01-14 08:33,1/1362,-4.3,13,2080
28,2020OB,60,2116-07-23 09:37,1/104602,-4.31,28,2114
29,2021GE2,5,2030-04-03 11:57,1/1483,-4.31,19,2030
30,2022SX55,3,2035-09-17 19:56,1/236,-4.31,16,2035
31,2007VE8,29,2062-11-06 02:54,1/9433,-4.32,14,2062
32,2010CR5,400,2062-01-01 02:05,1/1.48E7,-4.33,27,2062
33,2015YJ,8,2059-12-14 08:16,1/1031,-4.39,20,2042
34,2018TY4,8,2033-10-05 16:22,1/2314,-4.39,15,2033
35,2020CQ1,6,2070-02-03 04:35,1/224,-4.4,12,2070
36,2005ED224,60,2023-03-11 08:25,1/490196,-4.41,27,2023
37,2009BE,21,2083-01-25 02:21,1/5319,-4.44,16,2037
38,2022UE3,40,2093-10-13 23:51,1/24875,-4.44,15,2089
39,2020MJ,30,2102-06-12 10:45,1/17421,-4.45,20,2091
40,2021AM6,17,2070-01-05 02:26,1/3300,-4.46,12,2064
41,2001VB,700,2023-07-23 07:16,1/3.58E8,-4.46,37,2023
42,2010UK,15,2068-10-15 10:41,1/2347,-4.49,13,2068
43,2017AE21,40,2025-05-10 04:56,1/139082,-4.49,12,2023
44,2016WG,80,2076-06-23 07:12,1/381679,-4.51,26,2076
45,2017YM1,30,2091-12-16 12:47,1/18484,-4.53,16,2035
46,2022KL8,2000,2111-09-15 02:54,1/1.1E9,-4.59,32,2111
47,2011BL45,13,2071-08-01 11:58,1/1876,-4.62,11,2071
48,2021TT1,20,2048-10-09 17:15,1/27247,-4.62,20,2048
49,2022WW11,15,2050-11-29 04:37,1/10460,-4.62,17,2049
50,2016DK1,12,2043-02-18 02:17,1/4081,-4.64,13,2043
51,2016GU2,50,2113-04-01 22:09,1/280898,-4.65,41,2113
52,2017FO63,70,2097-11-13 18:29,1/442477,-4.65,31,2097
53,2010GM23,40,2105-04-15 03:57,1/38610,-4.66,17,2087
54,2012MF7,15,2046-06-21 21:10,1/7299,-4.67,14,2046
55,2019LU1,50,2056-06-05 11:09,1/448430,-4.68,34,2056
56,2021RB6,9,2080-09-09 19:38,1/1303,-4.69,14,2075
57,2020XF,16,2056-12-01 04:56,1/5434,-4.69,12,2056
58,2019TU,22,2099-01-27 20:49,1/8333,-4.69,15,2089
59,2014WA201,15,2075-11-16 03:22,1/5405,-4.7,16,2071
60,2008CC71,40,2066-02-27 12:20,1/38314,-4.7,14,2034
61,2017SF20,7,2034-09-26 12:41,1/3003,-4.7,15,2034
62,2007FT3,400,2046-10-03 12:14,1/2.4E7,-4.71,20,2046
63,2008HJ,25,2104-05-03 09:45,1/10764,-4.74,13,2077
64,2017LD,11,2079-06-10 16:11,1/1689,-4.74,12,2053
65,2021WA1,11,2116-11-27 21:44,1/1923,-4.74,18,2116
66,2021YW,30,2101-12-24 14:26,1/80645,-4.79,27,2093
67,2012HG2,14,2071-02-10 04:07,1/2873,-4.8,12,2052
68,2006DM63,16,2031-02-24 05:54,1/17301,-4.81,15,2031
69,2013TP4,12,2026-10-01 07:49,1/45454,-4.81,28,2026
