"No.","Object designation","Diameter
in m","Impact date/time in UTC","IP max","PS max","TS","Years","IP cum","PS cum","Vel. in km/s","In list since in d"
"1","1979XB","700*","2056-12-12 21:39","1/3.5E6","-3.22","0","2056-2117","1/1.11E6","-2.89","27.54","5164"
"2","2000SG344","40*","2071-09-16 00:57","1/1146","-3.37","0","2069-2119","1/371","-2.95","11.27","5164"
"3","2008JL3","30*","2027-05-01 09:06","1/6711","-3.66","0","2027-2119","1/6097","-3.65","14.01","5164"
"4","2021GX9","30*","2032-04-16 21:51","1/19880","-3.67","0","2032-2052","1/19880","-3.67","20.17","598"
"5","2019VB37","40*","2049-04-26 01:30","1/17793","-3.72","0","2033-2088","1/17482","-3.71","18.34","57"
"6","2018JD","16*","2067-05-08 13:22","1/793","-3.82","0","2067-2119","1/568","-3.68","13.76","1673"
"7","2011DU9","16*","2046-02-23 20:45","1/1443","-3.90","0","2043-2059","1/1432","-3.90","14.21","4246"
"8","2012QD8","90*","2047-03-08 23:18","1/169491","-3.90","0","2042-2115","1/164203","-3.89","23.58","3758"
"9","2022UY14","30*","2043-04-28 22:24","1/32679","-3.94","0","2043","1/32679","-3.94","23.23","36"
"10","2022VE1","50*","2053-10-26 06:39","1/43290","-4.02","0","2053-2121","1/42372","-4.02","19.25","26"
"11","2005QK76","30*","2030-02-26 08:15","1/32051","-4.05","0","2030-2108","1/15337","-3.82","22.66","5164"
"12","2017WT28","8*","2104-11-24 16:31","1/147","-4.11","0","2080-2119","1/141","-4.09","12.04","1822"
"13","2006JY26","8*","2074-05-03 00:48","1/152","-4.12","0","2073-2119","1/141","-4.09","11.57","5164"
"14","2021EU","29*","2056-08-29 02:45","1/21834","-4.13","0","2024-2107","1/18796","-3.95","23.98","638"
"15","2020VW","7*","2074-11-02 20:49","1/250","-4.16","0","2074-2106","1/132","-3.88","14.80","758"
"16","2007KE4","30*","2029-05-26 00:18","1/23364","-4.17","0","2026-2115","1/22727","-4.17","15.03","5164"
"17","2008FF5","80*","2060-03-27 18:06","1/518134","-4.18","0","2060-2064","1/518134","-4.18","41.02","5164"
"18","2020VV","12*","2056-10-11 00:02","1/1001","-4.19","0","2044-2119","1/223","-3.57","11.47","758"
"19","2014GN1","40*","2061-09-16 20:13","1/49261","-4.20","0","2061-2082","1/49261","-4.20","23.99","3166"
"20","2013VW13","20*","2080-11-08 16:20","1/4444","-4.22","0","2063-2097","1/2754","-4.01","19.81","3308"
"21","2022NX1","8*","2075-12-04 19:06","1/266","-4.22","0","2075-2116","1/266","-4.22","11.18","140"
"22","2020KD3","18*","2083-05-26 21:12","1/2109","-4.25","0","2083-2108","1/2061","-4.24","13.71","926"
"23","2014CR13","25*","2108-02-11 19:52","1/4484","-4.26","0","2102-2118","1/4132","-4.23","16.61","3217"
"24","2022WV9","40*","2115-01-15 00:14","1/12500","-4.26","0","2039-2121","1/7092","-3.94","13.40","4"
"25","2007DX40","40*","2056-08-18 05:16","1/37593","-4.28","0","2030-2119","1/14534","-3.88","19.11","5164"
"26","2008EX5","60*","2083-10-09 17:03","1/42735","-4.30","0","2056-2090","1/31847","-4.15","14.94","5164"
"27","2008UB7","60*","2060-10-31 18:27","1/108813","-4.30","0","2049-2101","1/21834","-3.65","21.57","5150"
"28","2022AT2","14*","2080-01-14 08:33","1/1362","-4.30","0","2080","1/1362","-4.30","12.90","330"
"29","2020OB","60*","2116-07-23 09:37","1/104602","-4.31","0","2114-2116","1/53475","-4.02","27.79","869"
"30","2021GE2","5*","2030-04-03 11:57","1/1483","-4.31","0","2030","1/1483","-4.31","18.99","607"
"31","2022SX55","3*","2035-09-17 19:56","1/236","-4.31","0","2035-2058","1/235","-4.31","16.44","61"
"32","2007VE8","29*","2062-11-06 02:54","1/9433","-4.32","0","2062","1/9433","-4.32","14.39","5164"
"33","2010CR5","400*","2062-01-01 02:05","1/1.48E7","-4.33","0","2062-2075","1/1.42E7","-4.31","26.91","4678"
"34","2015YJ","8*","2059-12-14 08:16","1/1031","-4.39","0","2042-2119","1/628","-4.17","19.80","2542"
"35","2018TY4","8*","2033-10-05 16:22","1/2314","-4.39","0","2033","1/2314","-4.39","15.45","1513"
"36","2020CQ1","6*","2070-02-03 04:35","1/224","-4.40","0","2070-2119","1/222","-4.40","12.20","1032"
"37","2005ED224","60*","2023-03-11 08:25","1/490196","-4.41","0","2023-2064","1/384615","-4.36","27.08","5164"
"38","2009BE","21*","2083-01-25 02:21","1/5319","-4.44","0","2037-2118","1/2624","-4.14","16.01","5068"
"39","2022UE3","40*","2093-10-13 23:51","1/24875","-4.44","0","2089-2100","1/24752","-4.44","15.31","45"
"40","2020MJ","30*","2102-06-12 10:45","1/17421","-4.45","0","2091-2107","1/11534","-4.27","20.39","898"
"41","2021AM6","17*","2070-01-05 02:26","1/3300","-4.46","0","2064-2120","1/1782","-4.18","12.34","688"
"42","2001VB","700*","2023-07-23 07:16","1/3.58E8","-4.46","0","2023","1/3.58E8","-4.46","36.76","1172"
"43","2010UK","15*","2068-10-15 10:41","1/2347","-4.49","0","2068-2118","1/2202","-4.47","12.73","4429"
"44","2017AE21","40*","2025-05-10 04:56","1/139082","-4.49","0","2023-2119","1/106609","-4.37","12.17","2139"
"45","2016WG","80*","2076-06-23 07:12","1/381679","-4.51","0","2076-2101","1/162074","-4.15","26.11","2204"
"46","2017YM1","30*","2091-12-16 12:47","1/18484","-4.53","0","2035-2110","1/12048","-4.34","15.74","1806"
"47","2022KL8","2000*","2111-09-15 02:54","1/1.1E9","-4.59","0","2111","1/1.1E9","-4.59","31.66","184"
"48","2011BL45","13*","2071-08-01 11:58","1/1876","-4.62","0","2071-2119","1/1515","-4.53","11.27","4246"
"49","2021TT1","20*","2048-10-09 17:15","1/27247","-4.62","0","2048","1/27247","-4.62","20.45","425"
"50","2022WW11","15*","2050-11-29 04:37","1/10460","-4.62","0","2049-2068","1/10309","-4.61","17.46","2"
"51","2016DK1","12*","2043-02-18 02:17","1/4081","-4.64","0","2043-2119","1/2100","-4.46","13.13","2470"
"52","2016GU2","50*","2113-04-01 22:09","1/280898","-4.65","0","2113-2116","1/271002","-4.63","40.73","2433"
"53","2017FO63","70*","2097-11-13 18:29","1/442477","-4.65","0","2097-2108","1/440528","-4.65","31.34","2081"
"54","2010GM23","40*","2105-04-15 03:57","1/38610","-4.66","0","2087-2121","1/10438","-4.10","17.48","4621"
"55","2012MF7","15*","2046-06-21 21:10","1/7299","-4.67","0","2046-2096","1/6097","-4.62","14.16","3813"
"56","2019LU1","50*","2056-06-05 11:09","1/448430","-4.68","0","2056-2070","1/420168","-4.66","33.70","1278"
"57","2021RB6","9*","2080-09-09 19:38","1/1303","-4.69","0","2075-2117","1/1197","-4.66","14.50","448"
"58","2020XF","16*","2056-12-01 04:56","1/5434","-4.69","0","2056-2121","1/1275","-4.25","11.65","726"
"59","2019TU","22*","2099-01-27 20:49","1/8333","-4.69","0","2089-2119","1/8264","-4.69","14.81","1157"
"60","2014WA201","15*","2075-11-16 03:22","1/5405","-4.70","0","2071-2084","1/5376","-4.70","16.09","2932"
"61","2008CC71","40*","2066-02-27 12:20","1/38314","-4.70","0","2034-2089","1/23419","-4.40","13.81","5164"
"62","2017SF20","7*","2034-09-26 12:41","1/3003","-4.70","0","2034-2052","1/3003","-4.70","15.30","1889"
"63","2007FT3","400*","2046-10-03 12:14","1/2.4E7","-4.71","0","2046-2118","1/9.26E6","-4.46","20.19","5164"
"64","2008HJ","25*","2104-05-03 09:45","1/10764","-4.74","0","2077-2119","1/4048","-4.28","13.47","5164"
"65","2017LD","11*","2079-06-10 16:11","1/1689","-4.74","0","2053-2119","1/411","-4.16","12.05","2009"
"66","2021WA1","11*","2116-11-27 21:44","1/1923","-4.74","0","2116-2120","1/1677","-4.68","17.82","372"
"67","2021YW","30*","2101-12-24 14:26","1/80645","-4.79","0","2093-2109","1/32573","-4.40","27.36","336"
"68","2012HG2","14*","2071-02-10 04:07","1/2873","-4.80","0","2052-2119","1/684","-4.19","11.66","3879"
"69","2006DM63","16*","2031-02-24 05:54","1/17301","-4.81","0","2031-2116","1/7142","-4.48","15.25","5164"
"70","2013TP4","12*","2026-10-01 07:49","1/45454","-4.81","0","2026","1/45454","-4.81","27.66","3347"
"71","2021UJ6","8*","2055-06-06 05:09","1/4149","-4.85","0","2055-2113","1/3984","-4.83","20.78","398"
"72","2011XC2","90*","2056-12-02 09:55","1/1.35E6","-4.86","0","2056-2109","1/1.22E6","-4.83","23.57","4011"
"73","2016RD34","10*","2051-05-18 21:23","1/3115","-4.86","0","2051-2119","1/1519","-4.60","11.23","2272"
"74","2018DQ","5*","2027-02-21 16:52","1/8130","-4.87","0","2027-2118","1/5235","-4.81","23.67","1744"
"75","2008EZ84","21*","2073-03-09 23:42","1/12360","-4.88","0","2072-2119","1/5917","-4.57","13.69","5164"
"76","2008ST7","50*","2094-09-10 01:44","1/107181","-4.88","0","2062-2119","1/37453","-4.45","15.00","5164"
"77","2022VF1","120*","2071-05-30 09:12","1/2.4E6","-4.88","0","2071","1/2.3E6","-4.86","21.10","26"
"78","2011UM169","30*","2102-10-24 12:31","1/47393","-4.89","0","2097-2108","1/29411","-4.69","17.89","4054"
