,Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
3394,SpaceX,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",2006,21:30:00,Falcon 1,FalconSat-2,Retired,7,Failure
3444,SpaceX,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",2007,01:10:00,Falcon 1,DemoSat,Retired,7,Failure
3515,SpaceX,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",2008,03:34:00,Falcon 1,Flight 3,Retired,7,Failure
3523,SpaceX,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",2008,23:15:00,Falcon 1,RatSat,Retired,7,Success
3560,SpaceX,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",2009,03:35:00,Falcon 1,RazakSat,Retired,7,Success
3601,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2010,18:45:00,Falcon 9 v1.0,Flight 1,Retired,59.5,Success
3619,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2010,15:43:00,Falcon 9 v1.0,COTS-1,Retired,59.5,Success
3676,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2012,07:44:00,Falcon 9 v1.0,COTS-2+,Retired,59.5,Success
3694,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2012,00:35:00,Falcon 9 v1.0,CRS-1,Retired,59.5,Partial Failure
3710,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2013,15:10:00,Falcon 9 v1.0,CRS-2,Retired,59.5,Success
3737,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2013,16:00:00,Falcon 9 v1.1,CASSIOPE,Retired,56.5,Success
3743,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2013,22:41:00,Falcon 9 v1.1,SES-8,Retired,56.5,Success
3749,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2014,22:06:00,Falcon 9 v1.1,Thaicom 6,Retired,56.5,Success
3761,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2014,19:25:00,Falcon 9 v1.1,CRS-3,Retired,56.5,Success
3775,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2014,15:15:00,Falcon 9 v1.1,OG2 Mission 1,Retired,56.5,Success
3779,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2014,08:00:00,Falcon 9 v1.1,AsiaSat 8,Retired,56.5,Success
3782,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2014,05:00:00,Falcon 9 v1.1,AsiaSat 6,Retired,56.5,Success
3785,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2014,05:52:00,Falcon 9 v1.1,CRS-4,Retired,56.5,Success
